survey,series,seriesID,state
CES,"Government, Seasonally adjusted",SMS18000009000000001, Indiana
CES,"Total Nonfarm, Not seasonally adjusted",SMU18000000000000001, Indiana
CES,"Mining and Logging, Not seasonally adjusted",SMU18000001000000001, Indiana
CES,"Mining, Logging, and Construction, Not seasonally adjusted",SMU18000001500000001, Indiana
CES,"Construction, Not seasonally adjusted",SMU18000002000000001, Indiana
CES,"Manufacturing, Not seasonally adjusted",SMU18000003000000001, Indiana
CES,"Trade, Transportation, and Utilities, Not seasonally adjusted",SMU18000004000000001, Indiana
CES,"Information, Not seasonally adjusted",SMU18000005000000001, Indiana
CES,"Financial Activities, Not seasonally adjusted",SMU18000005500000001, Indiana
CES,"Professional and Business Services, Not seasonally adjusted",SMU18000006000000001, Indiana
CES,"Education and Health Services, Not seasonally adjusted",SMU18000006500000001, Indiana
